Certification Course,Gender,Department,10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree,social media & video,Stress Level,Financial Status
No,Female,Mathematics,44,54,20.751855542591223,Sports,3 - 4 hour,Night,448431,No,No,More Than 4 hour,fabulous,Bad
No,Female,Accounting,14,86,57.291096937265266,Reading books,3 - 4 hour,Night,613823,Yes,Yes,More Than 4 hour,Good,Awful
Yes,Male,Electrical Engineering,94,62,22.878499315262612,Cinema,3 - 4 hour,Morning,680265,No,Yes,1 - 2 Hour,Bad,Fabulous
No,Female,Psychology,13,51,75.43764964707766,Reading books,0 - 30 minute,Morning,496513,Yes,Yes,More Than 4 hour,fabulous,Awful
No,Female,Agriculture,93,61,80.7954828322612,Reading books,More Than 4 hour,Night,640075,Yes,Yes,1 - 2 Hour,Awful,good
No,Female,Political Science,64,54,82.77182232140737,Cinema,2 - 3 hour,Morning,505169,No,Yes,More Than 4 hour,Awful,Awful
No,Female,Business Administration,24,90,41.01748035856267,Reading books,1 - 2 Hour,Anytime,605906,No,No,30 - 60 minute,Awful,Awful
No,Male,Law,48,61,90.82962593233293,Video Games,3 - 4 hour,Anytime,695046,Yes,Yes,30 - 60 minute,Bad,Bad
Yes,Male,Computer Science,64,49,98.94162562056451,Reading books,1 - 2 Hour,Anytime,876963,Yes,No,More Than 4 hour,Bad,good
Yes,Female,English Literature,11,69,51.22897625378068,Video Games,2 - 3 hour,Night,565581,No,Yes,1 - 2 Hour,Good,good
No,Female,Computer Science,24,70,66.92114249692665,Video Games,30 - 60 minute,Anytime,756130,Yes,Yes,0 - 30 minute,Good,Fabulous
Yes,Male,Architecture,90,79,73.0163070772839,Cinema,3 - 4 hour,Night,747629,Yes,No,30 - 60 minute,Good,Fabulous
Yes,Female,Information Technology,32,57,61.217312347321545,Reading books,1 - 2 Hour,Anytime,792774,No,Yes,0 - 30 minute,fabulous,Awful
Yes,Female,Civil Engineering,49,69,7.645940345925446,Reading books,1 - 2 Hour,Morning,581295,No,No,2 - 3 hour,Bad,good
No,Male,Law,8,72,5.615415413951919,Video Games,1 - 2 Hour,Morning,589489,Yes,Yes,30 - 60 minute,Good,Fabulous
Yes,Male,Accounting,71,65,33.55062298015059,Sports,More Than 4 hour,Anytime,647644,Yes,Yes,2 - 3 hour,Good,Bad
No,Female,Psychology,82,85,40.038892393475095,Video Games,More Than 4 hour,Morning,437098,No,No,3 - 4 hour,fabulous,Awful
No,Female,Mathematics,47,93,26.585373860116345,Reading books,1 - 2 Hour,Anytime,458504,No,Yes,30 - 60 minute,Bad,good
No,Male,Law,84,60,39.58038450911263,Cinema,1 - 2 Hour,Anytime,619736,No,Yes,0 - 30 minute,Awful,Bad
No,Female,Law,22,51,87.98396005118167,Cinema,3 - 4 hour,Morning,681485,Yes,No,3 - 4 hour,Good,Fabulous
No,Male,Dance,64,48,78.53806183079897,Cinema,1 - 2 Hour,Night,433354,Yes,No,3 - 4 hour,Awful,Bad
No,Male,Architecture,43,62,33.572991131242965,Video Games,3 - 4 hour,Anytime,558567,Yes,Yes,More Than 4 hour,Awful,Bad
No,Female,Music,8,64,33.45329062522664,Video Games,3 - 4 hour,Anytime,353203,Yes,Yes,1 - 2 Hour,Awful,Awful
No,Female,Fine Arts,81,92,39.37584089485158,Sports,0 - 30 minute,Night,374307,Yes,Yes,3 - 4 hour,fabulous,Fabulous
No,Female,Pharmacy,32,87,62.26139978317455,Video Games,0 - 30 minute,Night,587820,No,Yes,2 - 3 hour,Bad,Bad
No,Female,Chemistry,16,47,55.88787057000573,Cinema,1 - 2 Hour,Anytime,590293,Yes,Yes,2 - 3 hour,Good,good
No,Male,Accounting,68,47,55.472322041023794,Reading books,0 - 30 minute,Morning,592669,No,No,3 - 4 hour,fabulous,Bad
No,Female,Civil Engineering,26,87,2.6534054032646583,Cinema,0 - 30 minute,Morning,485508,Yes,Yes,More Than 4 hour,Awful,Fabulous
No,Female,English Literature,68,88,28.491821539693962,Video Games,0 - 30 minute,Morning,413032,No,Yes,3 - 4 hour,Bad,Bad
No,Male,Dance,92,59,32.345984075139,Sports,1 - 2 Hour,Anytime,359003,No,Yes,3 - 4 hour,fabulous,Fabulous
No,Female,History,81,52,20.981512382967328,Video Games,30 - 60 minute,Morning,337931,No,Yes,0 - 30 minute,Awful,good
Yes,Male,Architecture,13,47,81.19084084289624,Video Games,0 - 30 minute,Anytime,808859,No,No,0 - 30 minute,Bad,Bad
Yes,Male,Architecture,81,73,57.40678171436849,Reading books,More Than 4 hour,Anytime,724101,Yes,Yes,1 - 2 Hour,fabulous,Awful
Yes,Female,Architecture,63,45,24.345905837484136,Video Games,2 - 3 hour,Anytime,629607,No,Yes,1 - 2 Hour,Bad,Awful
Yes,Male,Physical Education,94,91,37.42644596399671,Sports,3 - 4 hour,Morning,499398,Yes,No,3 - 4 hour,Good,good
Yes,Female,Biology,43,85,81.85138985116568,Cinema,2 - 3 hour,Night,653222,No,Yes,30 - 60 minute,Bad,good
Yes,Female,Chemistry,28,47,84.62395230219316,Cinema,1 - 2 Hour,Night,676726,Yes,Yes,3 - 4 hour,Awful,Fabulous
Yes,Female,Mathematics,19,67,39.72305556009191,Video Games,3 - 4 hour,Morning,577786,No,Yes,30 - 60 minute,fabulous,Fabulous
No,Male,Psychology,80,74,84.17455404705674,Cinema,30 - 60 minute,Anytime,510122,Yes,No,30 - 60 minute,Bad,Fabulous
No,Female,Civil Engineering,32,88,21.417946398430807,Cinema,30 - 60 minute,Night,508524,No,No,2 - 3 hour,Bad,good
Yes,Male,Library Science,46,71,36.21704826500993,Video Games,1 - 2 Hour,Anytime,496884,Yes,No,0 - 30 minute,Bad,good
No,Female,Political Science,85,57,43.39129425320059,Cinema,2 - 3 hour,Anytime,463351,No,Yes,30 - 60 minute,Bad,Awful
No,Female,Chemistry,69,53,48.75411156688323,Sports,30 - 60 minute,Anytime,557711,No,No,0 - 30 minute,fabulous,Bad
Yes,Male,Civil Engineering,17,49,34.77159639754449,Sports,1 - 2 Hour,Anytime,693698,Yes,Yes,30 - 60 minute,fabulous,Fabulous
No,Male,Sociology,19,58,17.561939215635242,Reading books,1 - 2 Hour,Morning,358206,Yes,Yes,More Than 4 hour,Good,Awful
No,Female,Music,26,64,98.03433757721412,Cinema,30 - 60 minute,Night,493424,Yes,Yes,1 - 2 Hour,fabulous,Bad
No,Male,Electrical Engineering,30,53,74.99380401602436,Sports,3 - 4 hour,Anytime,621629,Yes,Yes,More Than 4 hour,fabulous,Bad
Yes,Female,Economics,68,91,74.12130639581751,Video Games,0 - 30 minute,Anytime,715430,No,Yes,2 - 3 hour,Awful,Bad
No,Male,Dance,67,51,5.981076032826092,Video Games,0 - 30 minute,Morning,346145,No,No,1 - 2 Hour,fabulous,good
Yes,Male,Architecture,92,85,28.61049310967031,Reading books,2 - 3 hour,Night,661879,No,No,1 - 2 Hour,Awful,Fabulous
Yes,Female,Psychology,53,47,10.469833743597547,Reading books,More Than 4 hour,Anytime,487368,No,Yes,1 - 2 Hour,Good,good
Yes,Female,Fine Arts,82,81,45.97610440416279,Reading books,2 - 3 hour,Night,534298,No,Yes,More Than 4 hour,Bad,Fabulous
No,Female,Biotechnology,77,78,4.883712236165708,Reading books,1 - 2 Hour,Night,441609,Yes,Yes,More Than 4 hour,Bad,good
No,Male,Psychology,52,68,91.73032478438712,Video Games,30 - 60 minute,Anytime,566497,Yes,Yes,30 - 60 minute,Good,good
Yes,Female,Political Science,78,80,46.48983154367843,Cinema,0 - 30 minute,Morning,602172,No,Yes,3 - 4 hour,fabulous,good
No,Male,Law,64,86,80.78079601957941,Video Games,2 - 3 hour,Night,642558,Yes,Yes,3 - 4 hour,Awful,good
Yes,Female,Accounting,70,89,8.023700873060811,Reading books,30 - 60 minute,Morning,596272,Yes,No,More Than 4 hour,Bad,Bad
No,Male,Electrical Engineering,58,66,63.819602119675416,Reading books,30 - 60 minute,Anytime,669087,No,Yes,1 - 2 Hour,Awful,Awful
Yes,Female,Physics,78,59,10.36186502084921,Sports,0 - 30 minute,Morning,565018,No,Yes,More Than 4 hour,fabulous,Awful
Yes,Female,Economics,70,88,44.264842437376664,Cinema,2 - 3 hour,Morning,610226,Yes,Yes,3 - 4 hour,Bad,good
No,Female,Environmental Science,13,65,24.691816914156668,Sports,0 - 30 minute,Anytime,427068,Yes,Yes,1 - 2 Hour,Bad,Fabulous
Yes,Female,Pharmacy,69,80,1.139791684011115,Sports,0 - 30 minute,Anytime,594911,No,Yes,More Than 4 hour,Awful,Fabulous
No,Male,Biology,10,88,29.967234032508426,Sports,30 - 60 minute,Morning,518763,No,Yes,More Than 4 hour,Good,Awful
Yes,Female,English Literature,66,86,45.508139107096206,Sports,2 - 3 hour,Morning,528275,No,No,1 - 2 Hour,Bad,Awful
Yes,Male,Chemistry,60,83,27.091527970267215,Sports,2 - 3 hour,Night,623943,No,No,2 - 3 hour,Awful,good
